"Column Name","Label"
"S0601_C01_013M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0601_C01_013MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0601_C01_013EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0601_C01_014E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0601_C01_014M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0601_C01_014MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0601_C01_014EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0601_C01_015E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0601_C01_015M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0601_C01_015MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0601_C01_015EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0601_C01_016E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0601_C01_016M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0601_C01_016MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0601_C01_016EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0601_C01_017E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0601_C01_017EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0601_C01_017M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0601_C01_017MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0601_C01_018E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0601_C01_018M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0601_C01_018MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0601_C01_018EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0601_C01_019E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0601_C01_019M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0601_C01_019MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0601_C01_019EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0601_C01_020E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0601_C01_020M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0601_C01_020MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0601_C01_020EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0601_C01_021E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0601_C01_021M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0601_C01_021MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0601_C01_021EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0601_C01_022E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0601_C01_022M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0601_C01_022MA","Annotation of Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0601_C01_022EA","Annotation of Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0601_C01_023E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over"
"S0601_C01_023EA","Annotation of Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over"
"S0601_C01_023M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over"
"S0601_C01_023MA","Annotation of Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over"
"S0601_C01_024E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English"
"S0601_C01_024EA","Annotation of Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English"
"S0601_C01_024M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English"
"S0601_C01_024MA","Annotation of Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English"
"S0601_C01_025E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English!!Speak English  "very well""
"S0601_C01_025EA","Annotation of Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English!!Speak English  "very well""
"S0601_C01_025M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English!!Speak English  "very well""
"S0601_C01_025MA","Annotation of Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English!!Speak English  "very well""
"S0601_C01_026E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English!!Speak English less than "very well""
"S0601_C01_026EA","Annotation of Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English!!Speak English less than "very well""
"S0601_C01_026M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English!!Speak English less than "very well""
"S0601_C01_026MA","Annotation of Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Speak language other than English!!Speak English less than "very well""
"S0601_C01_027E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over"
"S0601_C01_027EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over"
"S0601_C01_027M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over"
"S0601_C01_027MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over"
"S0601_C01_028E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0601_C01_028EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0601_C01_028M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0601_C01_028MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0601_C01_029E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0601_C01_029EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0601_C01_029M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0601_C01_029MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0601_C01_030E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0601_C01_030EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0601_C01_030M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0601_C01_030MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0601_C01_031E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0601_C01_031EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0601_C01_031M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0601_C01_031MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0601_C01_032E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0601_C01_032EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0601_C01_032M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0601_C01_032MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0601_C01_033E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0601_C01_033M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0601_C01_033MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0601_C01_033EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0601_C01_034E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0601_C01_034EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0601_C01_034M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0601_C01_034MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0601_C01_035E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0601_C01_035EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0601_C01_035M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0601_C01_035MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0601_C01_036E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree"
"S0601_C01_036EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree"
"S0601_C01_036M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree"
"S0601_C01_036MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree"
"S0601_C01_037E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree"
"S0601_C01_037EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree"
"S0601_C01_037M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree"
"S0601_C01_037MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree"
"S0601_C01_038E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over"
"S0601_C01_038M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over"
"S0601_C01_038MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over"
"S0601_C01_038EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over"
"S0601_C01_039E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$1 to $9,999 or loss"
"S0601_C01_039M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$1 to $9,999 or loss"
"S0601_C01_039MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$1 to $9,999 or loss"
"S0601_C01_039EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$1 to $9,999 or loss"
"S0601_C01_040E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$10,000 to $14,999"
"S0601_C01_040M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$10,000 to $14,999"
"S0601_C01_040MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$10,000 to $14,999"
"S0601_C01_040EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$10,000 to $14,999"
"S0601_C01_041E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$15,000 to $24,999"
"S0601_C01_041EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$15,000 to $24,999"
"S0601_C01_041M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$15,000 to $24,999"
"S0601_C01_041MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$15,000 to $24,999"
"S0601_C01_042E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$25,000 to $34,999"
"S0601_C01_042M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$25,000 to $34,999"
"S0601_C01_042MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$25,000 to $34,999"
"S0601_C01_042EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$25,000 to $34,999"
"S0601_C01_043E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$35,000 to $49,999"
"S0601_C01_043EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$35,000 to $49,999"
"S0601_C01_043M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$35,000 to $49,999"
"S0601_C01_043MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$35,000 to $49,999"
"S0601_C01_044E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$50,000 to $64,999"
"S0601_C01_044EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$50,000 to $64,999"
"S0601_C01_044M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$50,000 to $64,999"
"S0601_C01_044MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$50,000 to $64,999"
"S0601_C01_045E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$65,000 to $74,999"
"S0601_C01_045EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$65,000 to $74,999"
"S0601_C01_045M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$65,000 to $74,999"
"S0601_C01_045MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$65,000 to $74,999"
"S0601_C01_046E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$75,000 or more"
"S0601_C01_046M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$75,000 or more"
"S0601_C01_046MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$75,000 or more"
"S0601_C01_046EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$75,000 or more"
"S0601_C01_047E","Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!Median income (dollars)"
"S0601_C01_047EA","Annotation of Estimate!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!Median income (dollars)"
"S0601_C01_047M","Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!Median income (dollars)"
"S0601_C01_047MA","Annotation of Margin of Error!!Total!!INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!Median income (dollars)"
"S0601_C01_048E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined"
"S0601_C01_048EA","Annotation of Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined"
"S0601_C01_048M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined"
"S0601_C01_048MA","Annotation of Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined"
"S0601_C01_049E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level"
"S0601_C01_049EA","Annotation of Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level"
"S0601_C01_049M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level"
"S0601_C01_049MA","Annotation of Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level"
"S0601_C01_050E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level"
"S0601_C01_050EA","Annotation of Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level"
"S0601_C01_050M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level"
"S0601_C01_050MA","Annotation of Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level"
"S0601_C01_051E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level"
"S0601_C01_051EA","Annotation of Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level"
"S0601_C01_051M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level"
